#front|back|emoji|category|added|lastSeen|seen|score|level
hola | hello |  | miscellaneous |2026-03-10|2026-03-12|1|3|-1
buenos días | good morning |  | phrase |2026-03-10|2026-03-12|2|5|-1
buenas tardes | good afternoon |  | phrase |2026-03-10|2026-03-11|2|4|-1
buenas noches | good evening / good night |  | phrase |2026-03-10|2026-03-12|1|3|-1
adiós | goodbye |  | miscellaneous |2026-03-10|2026-03-10|1|0|-1
hasta luego | see you later |  | phrase |2026-03-10|2026-03-09|1|2|0
hasta mañana | see you tomorrow |  | phrase |2026-03-10|2026-03-11|1|3|-1
nos vemos | see you |  | phrase |2026-03-10|2026-03-11|3|1|-1
por favor | please |  | phrase |2026-03-10|2026-03-11|2|3|-1
gracias | thank you |  | miscellaneous |2026-03-10|2026-03-12|2|5|-1
muchas gracias | thank you very much |  | phrase |2026-03-10|2026-03-11|1|3|-1
de nada | you're welcome |  | phrase |2026-03-10|2026-03-11|1|3|-1
perdón | excuse me (light sorry) |  | miscellaneous |2026-03-10|2026-03-12|5|10|-1
lo siento | I'm sorry (strong sorry) |  | phrase |2026-03-10|2026-03-11|1|3|-1
con permiso | excuse me (passing by) |  | phrase |2026-03-10|2026-03-12|5|9|-1
¿cómo estás? | how are you? |  | question word |2026-03-10|2026-03-11|1|3|-1
¿cómo está usted? | how are you (formal)? |  | question word |2026-03-10|2026-03-11|1|3|-1
estoy bien | I am well |  | phrase |2026-03-10|2026-03-12|1|3|-1
más o menos | so-so |  | conjunction |2026-03-10|2026-03-12|2|2|-1
muy bien | very well |  | phrase |2026-03-10|2026-03-12|4|8|-1
¿qué tal? | how's it going? |  | question word |2026-03-10|2026-03-11|3|7|-1
mucho gusto | nice to meet you |  | phrase |2026-03-10|2026-03-12|3|7|-1
encantado | pleased to meet you |  | miscellaneous |2026-03-10|2026-03-11|3|8|-1
¿de dónde eres? | where are you from? |  | question word |2026-03-10|2026-03-12|4|9|-1
soy de Canadá | I am from Canada |  | phrase |2026-03-10|2026-03-12|2|4|0
¿dónde está el baño? | where is the bathroom? |  | question word |2026-03-10|2026-03-11|5|6|-1
¿cuánto cuesta? | how much does it cost? |  | phrase |2026-03-10|2026-03-11|2|5|-1
la cuenta, por favor | the bill please |  | noun |2026-03-10|2026-03-12|1|3|-1
¿habla inglés? | do you speak English? |  | phrase |2026-03-10|2026-03-10|2|0|-1
no entiendo | I don't understand |  | phrase |2026-03-10|2026-03-12|1|3|-1
¿puede repetir? | can you repeat? |  | phrase |2026-03-10|2026-03-12|5|7|0
¿puede hablar más despacio? | can you speak more slowly? |  | phrase |2026-03-10|2026-03-12|6|7|0
hablo un poco de español | I speak a little Spanish |  | phrase |2026-03-10|2026-03-12|3|7|-1
¿qué significa? | what does it mean? |  | question word |2026-03-10|2026-03-12|9|5|0
¿cómo se dice...? | how do you say...? |  | question word |2026-03-10|2026-03-11|1|3|-1
¿qué hora es? | what time is it? |  | question word |2026-03-10|2026-03-12|2|5|-1
¿dónde está el hotel? | where is the hotel? |  | question word |2026-03-10|2026-03-12|4|7|-1
¿dónde está el restaurante? | where is the restaurant? |  | question word |2026-03-10|2026-03-12|2|5|-1
necesito ayuda | I need help |  | phrase |2026-03-10|2026-03-12|6|12|0
estoy perdido | I am lost |  | phrase |2026-03-10|2026-03-12|3|2|-1
¿qué? | what |  | question word |2026-03-10|2026-03-11|2|5|-1
¿quién? | who |  | question word |2026-03-10|2026-03-11|2|5|-1
¿quiénes? | who (plural) |  | question word |2026-03-10|2026-03-12|5|11|-1
¿dónde? | where |  | question word |2026-03-10|2026-03-10|2|2|-1
¿cuándo? | when |  | question word |2026-03-10|2026-03-12|3|7|-1
¿por qué? | why |  | question word |2026-03-10|2026-03-11|3|7|-1
¿cómo? | how |  | question word |2026-03-10|2026-03-12|5|8|-1
¿cuánto? | how much |  | phrase |2026-03-10|2026-03-11|1|3|-1
¿cuántos? | how many |  | phrase |2026-03-10|2026-03-12|2|5|-1
¿cuál? | which |  | phrase |2026-03-10|2026-03-12|1|2|0
¿cuáles? | which (plural) |  | phrase |2026-03-10|2026-03-12|6|11|0
cero | zero |  | miscellaneous |2026-03-10|2026-03-12|1|3|-1
uno | one |  | miscellaneous |2026-03-10|2026-03-12|2|5|-1
dos | two |  | miscellaneous |2026-03-10|2026-03-10|1|0|-1
tres | three |  | miscellaneous |2026-03-10|2026-03-11|1|3|-1
cuatro | four |  | miscellaneous |2026-03-10|2026-03-12|2|3|-1
cinco | five |  | miscellaneous |2026-03-10|2026-03-11|2|3|-1
seis | six |  | miscellaneous |2026-03-10|2026-03-11|2|5|-1
siete | seven |  | miscellaneous |2026-03-10|2026-03-11|3|7|-1
ocho | eight |  | miscellaneous |2026-03-10|2026-03-12|1|3|-1
nueve | nine |  | miscellaneous |2026-03-10|2026-03-12|2|5|-1
diez | ten |  | miscellaneous |2026-03-10|2026-03-11|2|3|-1
once | eleven |  | miscellaneous |2026-03-10|2026-03-10|1|0|-1
doce | twelve |  | miscellaneous |2026-03-10|2026-03-10|1|2|0
trece | thirteen |  | miscellaneous |2026-03-10|2026-03-12|2|3|-1
catorce | fourteen |  | miscellaneous |2026-03-10|2026-03-12|3|7|-1
quince | fifteen |  | miscellaneous |2026-03-10|2026-03-12|2|4|-1
veinte | twenty |  | miscellaneous |2026-03-10|2026-03-12|1|3|-1
treinta | thirty |  | miscellaneous |2026-03-10|2026-03-12|2|3|-1
cuarenta | forty |  | miscellaneous |2026-03-10|2026-03-12|2|5|-1
cincuenta | fifty |  | miscellaneous |2026-03-10|2026-03-12|4|6|-1
cien | one hundred |  | miscellaneous |2026-03-10|2026-03-12|1|3|-1
lunes | Monday |  | miscellaneous |2026-03-10|2026-03-12|1|3|-1
martes | Tuesday |  | miscellaneous |2026-03-10|2026-03-12|4|8|-1
