# front | back | emoji | category | favourite | added | lastSeen | seen | penalty | level | comment
#
# The above header line is the schema of this file. Use it when creating new cards, along
# with the detailed description of each field which follows.
#
# front :: string, non-empty
#   - Gives the foreign translation of the text.
#   - When generating new cards, if using a sentence, then capitalize and punctuate correctly.
#
# back :: string, non-empty
#   - Gives the native translation of the text (English).
#   - When generating new cards, if using a sentence, then capitalize and punctuate correctly.
#
# emoji :: string, or empty.
#   - When available, represents a visual cue to aid in memorization.
#   - When generating new cards, only use emoji when for single word translation cards when there is a strong match.
#   - When generating new cards, never use an emoji if the card is a sentence or Conversational.
#
# category :: string, non-empty, of values: Noun, Verb, Adjective, Adverb, Conversational, Conversational
#   - When generating new cards, only choose from the above stated categories.
#   - Capitalize the first character.
#   - If clearly a noun, verb, adjective or adverb then use those categories.
#   - If it is a sentence or part of a sentence, then use Conversational.
#   - If it is a word but fits none of the above cleanly, then use Conversational.
#   - If in doubt, use Conversational.
#
# added :: date in YYYY-MM-DD form, or empty.
#   - Gives the date on which the card was added to the user's deck.
#   - When generating new cards, use the current local date for added.
#
# lastSeen :: date in YYYY-MM-DD form, or empty.
#   - Gives the last date this card was seen by user.
#   - When generating new cards, use 1970-01-01 for lastSeen.
#
# seen :: integer (count) or empty.
#   - Gives the number of times this card has been seen by user.
#   - When generating new cards, use 0 for seen.
#
# penalty :: integer
#   - Represents a score, that gets higher when the user ranks the card hard.
#   - Increases as the card is shown repeatedly and ranked hard.
#   - Increases faster if the card is ranked hard on each presentation.
#   - An empty penalty means the card has not been seen and should correpond with seen=0.
#   - When generating new cards, leave the penalty column empty.
#
# level :: integer of (-1, 0, 1)
#   - Another representation of how hard a card is judged to me.
#   - A level of -1 means the user finds the card too easy, and only wants it presented when studying the 'review' set.
#   - A level of 0 means the user finds the card normally difficult, and wants it presented in the 'learning' sets.
#   - A level of 1 means the user finds the card very hard, and only wants it prested when studying the 'hard' set.
#   - When generating new cards, populate level as 1.
#
# comment :: string
#   - Useful for learning tips.
#   - For example, explaining why on a given translation ser is used instead of estar.
#   - For example, explaining why on a given translation preterit is used instead of imperfect.
#   - When generating new cards, leave comment blank.
#
# Example new row:
# hola | hello |  | Conversational | 2026-03-21 | 1970-01-01 | 0 | | 1 |
#
# Content :: Vocabulary study
#   - This file is for building vocabulary through words and short sentences or Conversationals.
#   - Sentence cards should prefer sentence structure that is natural in Spanish.
#   - Sentence cards should prefer sentences that are useful and someone may actually use.
#   - Sentence cards should prefer proper capitalization and punctuate properly.
#   - Consider the article: Spanish sometimes uses it, sometimes not. Prefer natural, common usage.
#   - If the English needs some clarification or disambiguation, use a bracketed clarifying word: e.g. "to return (something)"
#   - If the Spanish translates to two related English words, separate those English words with a '/'.
#   - If the English translates to two related Spanish words, separate those Spanish words with a '/'.
#
# Convention :: when generating a noun card (category=Noun)
#   - Prefer the singular, unless the singular is not used.
#   - Use the article, le or la in front of the Spanish noun.
#   - Comma separates the cells in a table row.
#   - Semicolon separates the rows in a table.
#
# Convention :: when generating an adjective card (category=Adjective)
#   - If the adjective has masculine and feminine forms then list both as <masculine>, o <feminine>
#   - For example: rojo, o roja
#   - If the adjective has only one form, then just use that alone.
#
# Convention :: when generating a verb card (category=Verb)
#   - A verb card may show a verb infinitive as the Spanish, in which case the English should start with the word 'to'.
#   - A verb card may show nothing more than a conjugated form, in which case the Spanish article should be bracketed to show it is optionally used.
#   - For the article of the third person singular, use (él/ella/usted)
#   - For the article of the third person plural, use (ellos/ellas/ustedes)
#   - Don't create cards of conjugations for vosotros.
#
# *** If you notice a bug or error in these translations, always call them out ***
#

# >>> Basics
Bonjour | Hello / Good morning |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Bonsoir | Good evening |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Salut | Hi / Bye (informal) |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Au revoir | Goodbye |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
À bientôt | See you soon |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
À plus tard | See you later |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Merci | Thank you |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Merci beaucoup | Thank you very much |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
De rien | You're welcome |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
S'il vous plaît | Please (formal) |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
S'il te plaît | Please (informal) |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Excusez-moi | Excuse me (formal) |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Pardon | Sorry / excuse me |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Désolé | Sorry |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Comment ça va ? | How are you? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Ça va bien | I’m doing well |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Comme ci, comme ça | So-so |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Ça ne va pas | Not good |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Qui ? | Who? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Quoi ? | What? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Où ? | Where? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Quand ? | When? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Pourquoi ? | Why? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Comment ? | How? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Combien ? | How much / many? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Je ne comprends pas | I don’t understand |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Pouvez-vous répéter ? | Can you repeat? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Parlez-vous anglais ? | Do you speak English? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Je parle un peu français | I speak a little French |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Où sont les toilettes ? | Where is the bathroom? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Où est… ? | Where is…? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
C’est loin ? | Is it far? |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
À gauche | To the left |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
À droite | To the right |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Tout droit | Straight ahead |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Je voudrais… | I would like… |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
Je prends… | I’ll take… |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
L’addition, s’il vous plaît | The bill, please |  | Conversational | false | 2026-04-11 | 1970-01-01 | 0 | | Hard |
